Channel              :,CH1,CH2
Frequency            :,  ?,  ?
Period               :,  ?,  ?
PK-PK                :,952.0mV,120.0mV
Probe attenuation    :,1X,1X
Voltage per ADC value:,0.500000mV,2.500000mV
Time interval        :,200.00000uS,200.00000uS

index,CH1_Voltage(mV),CH2_Voltage(mV)
912,-568.000000,2720.000000
913,-560.000000,2720.000000
914,-568.000000,2720.000000
915,-568.000000,2760.000000
916,-568.000000,2720.000000
917,-560.000000,2720.000000
918,-560.000000,2720.000000
919,-568.000000,2720.000000
920,-568.000000,2720.000000
921,-568.000000,2720.000000
922,-560.000000,2720.000000
923,-568.000000,2720.000000
924,-568.000000,2720.000000
925,-560.000000,2720.000000
926,-560.000000,2720.000000
927,-560.000000,2720.000000
928,-560.000000,2720.000000
929,-560.000000,2720.000000
930,-560.000000,2720.000000
931,-568.000000,2720.000000
932,-560.000000,2720.000000
933,-560.000000,2720.000000
934,-560.000000,2720.000000
935,-568.000000,2760.000000
936,-568.000000,2720.000000
937,-560.000000,2720.000000
938,-560.000000,2720.000000
939,-568.000000,2720.000000
940,-568.000000,2720.000000
941,-560.000000,2720.000000
942,-560.000000,2720.000000
943,-568.000000,2720.000000
944,-568.000000,2720.000000
945,-568.000000,2720.000000
946,-568.000000,2720.000000
947,-568.000000,2760.000000
948,-568.000000,2720.000000
949,-568.000000,2720.000000
950,-568.000000,2760.000000
951,-568.000000,2720.000000
952,-568.000000,2720.000000
953,-560.000000,2760.000000
954,-568.000000,2760.000000
955,-560.000000,2720.000000
956,-560.000000,2720.000000
