noise_est=6.294681753615805e-08, dc_offset=6.444219616241753e-05, n_samples=4095
noise_est=6.553705134137999e-08, dc_offset=6.483720790129155e-05, n_samples=4096
noise_est=6.460261658958188e-08, dc_offset=6.573883729288355e-05, n_samples=4095
noise_est=6.648411954301991e-08, dc_offset=6.62264137645252e-05, n_samples=4096
noise_est=7.241975197302963e-08, dc_offset=6.359987310133874e-05, n_samples=4095
noise_est=8.378894023053363e-08, dc_offset=6.77501957397908e-05, n_samples=4096
noise_est=6.967263743717922e-08, dc_offset=6.105356442276388e-05, n_samples=4095
noise_est=6.552184572683473e-08, dc_offset=6.7959597799927e-05, n_samples=4096
noise_est=6.995905721396412e-08, dc_offset=6.452553498093039e-05, n_samples=4095
noise_est=6.403224972473254e-08, dc_offset=6.592011777684093e-05, n_samples=4096
noise_est=5.5678295751704354e-08, dc_offset=6.265074625844136e-05, n_samples=4095
noise_est=7.5232534868519e-08, dc_offset=6.662908708676696e-05, n_samples=4096
noise_est=6.966437382516233e-08, dc_offset=6.435326213249937e-05, n_samples=4095
noise_est=7.73719719404653e-08, dc_offset=6.497644062619656e-05, n_samples=4096
noise_est=7.414455183152313e-08, dc_offset=6.358966493280604e-05, n_samples=4095
noise_est=8.093444137102779e-08, dc_offset=6.719813245581463e-05, n_samples=4096
noise_est=8.396479955763425e-08, dc_offset=6.561126792803407e-05, n_samples=4095
noise_est=7.528142731416665e-08, dc_offset=6.417802069336176e-05, n_samples=4096
noise_est=8.091095793361092e-08, dc_offset=6.575674342457205e-05, n_samples=4095
noise_est=8.635864645611946e-08, dc_offset=6.622885848628357e-05, n_samples=4096
noise_est=7.088149089895524e-08, dc_offset=6.425346509786323e-05, n_samples=4095
noise_est=6.926288165232108e-08, dc_offset=6.446227780543268e-05, n_samples=4096
noise_est=6.909662886300794e-08, dc_offset=6.757063965778798e-05, n_samples=4095
noise_est=6.35645278634911e-08, dc_offset=6.159829354146495e-05, n_samples=4096
noise_est=6.029537757967773e-08, dc_offset=6.472938548540697e-05, n_samples=4095
noise_est=5.546686665525158e-08, dc_offset=6.556534935953096e-05, n_samples=4096
noise_est=4.116554919164628e-08, dc_offset=6.665215187240392e-05, n_samples=4095
noise_est=3.622685795789948e-08, dc_offset=6.385378947015852e-05, n_samples=4096
noise_est=5.6076395082982344e-08, dc_offset=6.320174725260586e-05, n_samples=4095
noise_est=6.996167911665907e-08, dc_offset=6.657536141574383e-05, n_samples=4096
noise_est=7.656463907323996e-08, dc_offset=6.728300650138408e-05, n_samples=4095
noise_est=8.316631294746912e-08, dc_offset=6.331918848445639e-05, n_samples=4096
noise_est=7.574203664262313e-08, dc_offset=6.359623512253165e-05, n_samples=4095
noise_est=8.396416717459942e-08, dc_offset=6.657435733359307e-05, n_samples=4096
mean_noise_power=6.862489698278296e-08
noise_est=4.75031299629336e-07, dc_offset=5.66509879718069e-05, n_samples=4095
noise_est=5.109714038553648e-07, dc_offset=7.044927770039067e-05, n_samples=4096
noise_est=4.966633468939108e-07, dc_offset=7.003226346569136e-05, n_samples=4095
noise_est=4.754958240482665e-07, dc_offset=6.90307206241414e-05, n_samples=4096
noise_est=4.917457090414246e-07, dc_offset=6.598437175853178e-05, n_samples=4095
noise_est=4.7474009079451207e-07, dc_offset=7.251521310536191e-05, n_samples=4096
noise_est=5.349292564460484e-07, dc_offset=6.515152927022427e-05, n_samples=4095
noise_est=5.55091219212045e-07, dc_offset=6.614266749238595e-05, n_samples=4096
noise_est=5.131316243023321e-07, dc_offset=6.803424912504852e-05, n_samples=4095
noise_est=5.173262707103277e-07, dc_offset=6.869115895824507e-05, n_samples=4096
noise_est=5.038871790929988e-07, dc_offset=5.912223787163384e-05, n_samples=4095
noise_est=4.875951162830461e-07, dc_offset=6.995286821620539e-05, n_samples=4096
noise_est=4.836896891902143e-07, dc_offset=7.127031130949035e-05, n_samples=4095
noise_est=4.7562954819113656e-07, dc_offset=7.325210754061118e-05, n_samples=4096
noise_est=5.201587782721617e-07, dc_offset=5.8655950851971284e-05, n_samples=4095
noise_est=4.899950454273494e-07, dc_offset=6.439984281314537e-05, n_samples=4096
noise_est=4.87205966237525e-07, dc_offset=7.9818804806564e-05, n_samples=4095
